id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
67,40883,1719,1978,411,317,1827.0,2220.75,0.9520999193191528,0.9717406630516052,0,0,4032,3024
68,5863,2493,1255,96,65,2583.0,1275.75,0.9520381093025208,0.9829074144363403,0,0,4032,3024
69,40497,1719,2154,411,141,2079.0,2220.75,0.9510276317596436,0.9760743379592896,0,0,4032,3024
70,14818,1751,21,185,188,1827.0,47.25,0.9509647488594055,0.9749650359153748,0,0,4032,3024
71,9565,1917,1643,155,68,1953.0,1653.75,0.9495787024497986,0.985903799533844,0,0,4032,3024
72,47358,1056,2509,286,263,1071.0,2598.75,0.9484915137290955,0.9693276882171631,0,0,4032,3024
73,14000,1093,2711,137,189,1197.0,2882.25,0.9482461214065552,0.9743897318840027,0,0,4032,3024
74,6537,1420,1874,191,76,1449.0,1937.25,0.9476155042648315,0.9768637418746948,0,0,4032,3024
75,76926,2500,1236,223,784,2709.0,1842.75,0.9469965696334839,0.9601573944091797,0,0,4032,3024
76,241731,2850,2381,741,637,3087.0,2787.75,0.9468005895614624,0.9518460035324097,0,0,4032,3024
77,505249,646,2241,2811,268,693.0,2409.75,0.9449834227561951,0.9612731337547302,0,0,4032,3024
78,10563,1905,1392,81,164,1953.0,1464.75,0.9408963322639465,0.9532848000526428,0,0,4032,3024
79,26850,971,2846,238,177,1071.0,2976.75,0.9360150098800659,0.972974956035614,0,0,4032,3024
80,27766,1746,1882,402,109,1953.0,1937.25,0.9343117475509644,0.9545278549194336,0,0,4032,3024
81,5145,2941,522,114,56,2961.0,519.75,0.9337377548217773,0.977517306804657,0,0,4032,3024
82,40615,972,2711,256,312,1197.0,2787.75,0.9323045015335083,0.9522848725318909,0,0,4032,3024
83,98773,1359,0,858,292,2079.0,47.25,0.9310961961746216,0.9695332050323486,0,0,4032,3024
84,3599,1296,1184,45,119,1323.0,1275.75,0.9309415221214294,0.9788287281990051,0,0,4032,3024
85,56236,1266,935,83,1007,1323.0,1559.25,0.9295233488082886,0.951206386089325,0,0,4032,3024
86,36124,1938,942,110,610,1953.0,1086.75,0.9260438680648804,0.97223961353302,0,0,4032,3024
87,372180,1042,0,1733,294,2331.0,236.25,0.925600528717041,0.9638904333114624,0,0,4032,3024
88,598832,874,835,479,2089,945.0,1464.75,0.9232230186462402,0.9727730751037598,0,0,4032,3024
89,511863,644,2241,2814,766,2457.0,2409.75,0.9222230911254883,0.9513821601867676,0,0,4032,3024
90,2697,3208,778,40,72,3213.0,803.25,0.9193626642227173,0.9779977798461914,0,0,4032,3024
91,12171,1216,2132,187,145,1323.0,2220.75,0.9130358695983887,0.9670249819755554,0,0,4032,3024
92,15536,3572,2276,137,133,3591.0,2315.25,0.9109925031661987,0.9746835231781006,0,0,4032,3024
93,547,802,2029,18,34,819.0,2031.75,0.9104229807853699,0.9693693518638611,0,0,4032,3024
94,41612,2101,978,605,278,2583.0,992.25,0.9099254608154297,0.9709087610244751,0,0,4032,3024
95,143817,2181,989,166,980,2205.0,1275.75,0.9058715105056763,0.9694521427154541,0,0,4032,3024
96,7458,3204,879,116,114,3213.0,897.75,0.9005730152130127,0.9667765498161316,0,0,4032,3024
97,32820,1905,1324,170,236,1953.0,1464.75,0.8971707820892334,0.9607033729553223,0,0,4032,3024
98,11344,1278,0,120,164,1323.0,141.75,0.8904085159301758,0.9503175020217896,0,0,4032,3024
99,28579,2933,2833,267,190,3087.0,2976.75,0.88279789686203,0.9645311832427979,0,0,4032,3024
